code,language,error_type,predicted
"return 0;
cout << ""Hi"";",C++,UnreachableCode,UnreachableCode
"def func():
print('Hi')",Python,IndentationError,IndentationError
"from os import pathh
pathh.exists('file')",Python,ImportError,ImportError
"int main() { strlen(""test""); return 0; }",C,MissingInclude,MissingInclude
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
total = count * 2,Python,NameError,NameError
"int main() { string s = ""hi""; return 0; }",C++,MissingInclude,MissingInclude
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
request.get('url'),Python,MissingImport,MissingImport
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"while True:
break",Python,IndentationError,IndentationError
"printf(""Hello);",C,UnclosedString,UnclosedString
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
int main() { cin >> x; return 0; },C++,MissingInclude,MissingInclude
result = x + y,Python,NameError,NameError
"return;
System.out.println(""Hi"");",Java,UnreachableCode,UnreachableCode
int z = 30,C++,MissingDelimiter,MissingDelimiter
int r = 75 / (c - c);,C++,DivisionByZero,DivisionByZero
"int x = ""5"";",C,TypeMismatch,DivisionByZero
from os import *,Python,WildcardImport,WildcardImport
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"for i in range(5):
print(i)",Python,IndentationError,IndentationError
int result = 10 / 0;,C++,DivisionByZero,DivisionByZero
"def func():
print('Hi')",Python,IndentationError,IndentationError
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
int z = 30,C++,MissingDelimiter,MissingDelimiter
"cout << ""test;",C++,UnclosedString,UnclosedString
from os import *,Python,WildcardImport,WildcardImport
int x = 10,Java,MissingDelimiter,DivisionByZero
5 = x;,Java,InvalidAssignment,InvalidAssignment
"int x = 10;
printf(""Hi"");",C,UnusedVariable,UnusedVariable
"""hello"" = str;",Java,InvalidAssignment,InvalidAssignment
x = 100 / (5 - 5),Python,DivisionByZero,InvalidAssignment
"int main() { printf(""Hello""); return 0; }",C,MissingInclude,MissingInclude
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
for (;;) { },Java,InfiniteLoop,InfiniteLoop
5 = x;,C++,InvalidAssignment,InvalidAssignment
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
int x = 5; int x = 10;,C,DuplicateDefinition,DivisionByZero
