language,error_type,buggy_code,fixed_code,line_no
C,InfiniteLoop,"while (1) {
}","while (condition) {
}",1
C,InfiniteLoop,"while (1) {
}","while (condition) {
}",1
C,MissingInclude,"printf(""Hello"");","#include <stdio.h>
printf(""Hello"");",1
C,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
C,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1
C,InvalidAssignment,5 = x;,int x = 5;,1
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1
C,UnreachableCode,"return;
printf(""Hi"");","printf(""Hi"");",2
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1
C,UnusedVariable,"int x = 10;
printf(""Hi"");","printf(""Hi"");",1
C,UnreachableCode,"return;
printf(""Hi"");","printf(""Hi"");",2
C,UnmatchedBracket,"int main() {
  printf(""Hi"");
","int main() {
  printf(""Hi"");
}",2
C,UnusedVariable,"int x = 10;
printf(""Hi"");","printf(""Hi"");",1
C,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C,UnreachableCode,"return;
printf(""Hi"");","printf(""Hi"");",2
C,InfiniteLoop,"while (1) {
}","while (condition) {
}",1
C,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
C,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C,InfiniteLoop,"while (1) {
}","while (condition) {
}",1
C,TypeMismatch,"int x = ""5"";",int x = 5;,1
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1
C,UndeclaredIdentifier,"printf(""%d"", x);","int x = 10;
printf(""%d"", x);",1
C,MissingInclude,"printf(""Hello"");","#include <stdio.h>
printf(""Hello"");",1
C,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
