language,error_type,buggy_code,fixed_code,line_no
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,UnreachableCode,"return 0;
cout << ""Hi"";","cout << ""Hi"";",2
C++,MissingDelimiter,int x = 10,int x = 10;,1
C++,UnreachableCode,"return 0;
cout << ""Hi"";","cout << ""Hi"";",2
C++,MissingDelimiter,int x = 10,int x = 10;,1
C++,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,InvalidAssignment,5 = x;,int x = 5;,1
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,MissingDelimiter,int x = 10,int x = 10;,1
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,UnusedVariable,"int x = 10;
cout << ""Hi"";","cout << ""Hi"";",1
C++,UnusedVariable,"int x = 10;
cout << ""Hi"";","cout << ""Hi"";",1
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,UnusedVariable,"int x = 10;
cout << ""Hi"";","cout << ""Hi"";",1
C++,UnclosedString,"cout << ""Hello;","cout << ""Hello"";",1
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,MissingDelimiter,int x = 10,int x = 10;,1
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,UnmatchedBracket,"int main() {
  cout << ""Hi"";
","int main() {
  cout << ""Hi"";
}",2
C++,UnmatchedBracket,"int main() {
  cout << ""Hi"";
","int main() {
  cout << ""Hi"";
}",2
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1
C++,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C++,MissingDelimiter,int x = 10,int x = 10;,1
C++,UnmatchedBracket,"int main() {
  cout << ""Hi"";
","int main() {
  cout << ""Hi"";
}",2
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1
C++,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
C++,UnclosedString,"cout << ""Hello;","cout << ""Hello"";",1
C++,TypeMismatch,"int x = ""5"";",int x = 5;,1
C++,UnreachableCode,"return 0;
cout << ""Hi"";","cout << ""Hi"";",2
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,InvalidAssignment,5 = x;,int x = 5;,1
C++,UnusedVariable,"int x = 10;
cout << ""Hi"";","cout << ""Hi"";",1
C++,UnusedVariable,"int x = 10;
cout << ""Hi"";","cout << ""Hi"";",1
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,UnmatchedBracket,"int main() {
  cout << ""Hi"";
","int main() {
  cout << ""Hi"";
}",2
C++,UndeclaredIdentifier,cout << x;,"int x = 10;
cout << x;",1
C++,MissingDelimiter,int x = 10,int x = 10;,1
C++,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
C++,MissingDelimiter,int x = 10,int x = 10;,1
C++,MissingDelimiter,int x = 10,int x = 10;,1
