language,error_type,buggy_code,fixed_code,line_no
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,UnclosedString,"System.out.println(""Hello);","System.out.println(""Hello"");",1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,MissingImport,ArrayList list = new ArrayList();,"import java.util.ArrayList;
ArrayList list = new ArrayList();",1
Java,InvalidAssignment,5 = x;,int x = 5;,1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,DuplicateDefinition,"int add() { return 1; }
int add() { return 2; }",int add() { return 1; },2
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3
Java,UnusedVariable,"int x = 10;
System.out.println(""Hi"");","System.out.println(""Hi"");",1
Java,DivisionByZero,int x = 10 / 0;,int x = 10 / 2;,1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,UndeclaredIdentifier,System.out.println(x);,"int x = 10;
System.out.println(x);",1
Java,InvalidAssignment,5 = x;,int x = 5;,1
