language,error_type,buggy_code,fixed_code,line_no
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,InvalidAssignment,5 = x,x = 5,1
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1
Python,UnreachableCode,"return
print('Hi')",print('Hi'),2
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1
Python,WildcardImport,from math import *,from math import sqrt,1
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1
Python,InvalidAssignment,5 = x,x = 5,1
Python,NameError,print(x),"x = 10
print(x)",1
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1
Python,InvalidAssignment,5 = x,x = 5,1
Python,UnclosedString,print('Hello),print('Hello'),1
Python,UnclosedString,print('Hello),print('Hello'),1
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1
Python,InvalidAssignment,5 = x,x = 5,1
Python,WildcardImport,from math import *,from math import sqrt,1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2
Python,WildcardImport,from math import *,from math import sqrt,1
Python,InvalidAssignment,5 = x,x = 5,1
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,MissingDelimiter,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",1
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1
Python,NameError,print(x),"x = 10
print(x)",1
Python,UnreachableCode,"return
print('Hi')",print('Hi'),2
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,InfiniteLoop,"while True:
    pass","while condition:
    pass",1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1
Python,UnreachableCode,"return
print('Hi')",print('Hi'),2
Python,WildcardImport,from math import *,from math import sqrt,1
Python,NameError,print(x),"x = 10
print(x)",1
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2
Python,NameError,print(x),"x = 10
print(x)",1
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2
Python,InvalidAssignment,5 = x,x = 5,1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2
Python,UnreachableCode,"return
print('Hi')",print('Hi'),2
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,NameError,print(x),"x = 10
print(x)",1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,NameError,print(x),"x = 10
print(x)",1
Python,InfiniteLoop,"while True:
    pass","while condition:
    pass",1
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,MissingDelimiter,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",1
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,UnusedVariable,"x = 10
print('Hi')",print('Hi'),1
Python,UnclosedString,print('Hello),print('Hello'),1
Python,WildcardImport,from math import *,from math import sqrt,1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,WildcardImport,from math import *,from math import sqrt,1
Python,MissingDelimiter,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",1
Python,MutableDefault,"def add_item(x, lst=[]): lst.append(x)","def add_item(x, lst=None):
    if lst is None: lst = []
    lst.append(x)",1
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1
Python,MissingDelimiter,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2
Python,TypeMismatch,x = '5' + 3,x = int('5') + 3,1
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2
Python,DivisionByZero,x = 10 / 0,x = 10 / 2,1
Python,ImportError,"import maths
maths.sqrt(4)","import math
math.sqrt(4)",1
Python,UnclosedString,print('Hello),print('Hello'),1
Python,InfiniteLoop,"while True:
    pass","while condition:
    pass",1
Python,DuplicateDefinition,"def f(): pass
def f(): pass",def f(): pass,2
Python,InvalidAssignment,5 = x,x = 5,1
Python,UnclosedString,print('Hello),print('Hello'),1
