language,error_type,buggy_code,fixed_code,line_no
C++,UnreachableCode,"return 0;
cout << ""Hi"";","cout << ""Hi"";",2
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2
Python,ImportError,"from os import pathh
pathh.exists('file')","from os import path
path.exists('file')",1
C,MissingInclude,"int main() { strlen(""test""); return 0; }","#include <string.h>
int main() { strlen(""test""); return 0; }",1
Python,UnreachableCode,"return
print('Hi')",print('Hi'),2
Python,NameError,total = count * 2,"count = 5
total = count * 2",1
C++,MissingInclude,"int main() { string s = ""hi""; return 0; }","#include <string>
using namespace std;
int main() { string s = ""hi""; return 0; }",1
Python,MutableDefault,"def append_to(element, lst=[]): lst.append(element)","def append_to(element, lst=None):
    if lst is None: lst = []
    lst.append(element)",1
Python,MissingImport,request.get('url'),"import requests
request.get('url')",1
Java,InfiniteLoop,"while (true) {
}","while (condition) {
}",1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,IndentationError,"while True:
break","while True:
    break",2
C,UnclosedString,"printf(""Hello);","printf(""Hello"");",1
Java,TypeMismatch,"int x = ""5"";",int x = 5;,1
C++,MissingInclude,int main() { cin >> x; return 0; },"#include <iostream>
using namespace std;
int main() { int x; cin >> x; return 0; }",1
Python,NameError,result = x + y,"x = 5
y = 10
result = x + y",1
Java,UnreachableCode,"return;
System.out.println(""Hi"");","System.out.println(""Hi"");",2
C++,MissingDelimiter,int z = 30,int z = 30;,1
C++,DivisionByZero,int r = 75 / (c - c);,"int r = 75 / max(c - c, 1);",1
C,TypeMismatch,"int x = ""5"";",int x = 5;,1
Python,WildcardImport,from os import *,"from os import path, getcwd",1
Python,UnmatchedBracket,print((1 + 2),print((1 + 2)),1
Python,IndentationError,"for i in range(5):
print(i)","for i in range(5):
    print(i)",2
C++,DivisionByZero,int result = 10 / 0;,int result = 10 / 1;  // Avoid division by zero,1
Python,IndentationError,"def func():
print('Hi')","def func():
    print('Hi')",2
Python,LineTooLong,"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)","result = very_long_function_name(
    arg1, arg2, arg3, arg4,
    arg5, arg6, arg7, arg8
)",1
C++,MissingDelimiter,int z = 30,int z = 30;,1
C++,UnclosedString,"cout << ""test;","cout << ""test"";",1
Python,WildcardImport,from os import *,"from os import path, getcwd",1
Java,MissingDelimiter,int x = 10,int x = 10;,1
Java,InvalidAssignment,5 = x;,x = 5;,1
C,UnusedVariable,"int x = 10;
printf(""Hi"");","printf(""Hi"");",1
Java,InvalidAssignment,"""hello"" = str;","str = ""hello"";",1
Python,DivisionByZero,x = 100 / (5 - 5),"x = 100 / max(5 - 5, 1)",1
C,MissingInclude,"int main() { printf(""Hello""); return 0; }","#include <stdio.h>
int main() { printf(""Hello""); return 0; }",1
Python,LineTooLong,print('This is a very very very very very very very very very very long line'),print('This is a long line'),1
Python,LineTooLong,print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),"print(
    'This is an extremely long string '
    'split across multiple lines'
)",1
