language,actual,predicted
Python,UnclosedString,UnclosedString
C,UndeclaredIdentifier,UndeclaredIdentifier
C,DivisionByZero,DivisionByZero
Python,ImportError,ImportError
Java,InvalidAssignment,InvalidAssignment
Java,InfiniteLoop,InfiniteLoop
Python,MissingDelimiter,MissingDelimiter
C++,DuplicateDefinition,DuplicateDefinition
Python,MutableDefault,MutableDefault
Java,DivisionByZero,DivisionByZero
Python,DivisionByZero,DivisionByZero
Python,MissingDelimiter,MissingDelimiter
C++,UnusedVariable,UnusedVariable
C,MissingDelimiter,MissingDelimiter
Java,InfiniteLoop,InfiniteLoop
Python,MutableDefault,MutableDefault
C,MissingDelimiter,MissingDelimiter
Python,DivisionByZero,DivisionByZero
C++,MissingDelimiter,MissingDelimiter
Python,MutableDefault,MutableDefault
C++,MissingDelimiter,MissingDelimiter
Python,NameError,NameError
Java,TypeMismatch,TypeMismatch
Python,MissingImport,MissingImport
Java,MissingImport,MissingImport
Python,ImportError,ImportError
Python,WildcardImport,WildcardImport
Python,InvalidAssignment,InvalidAssignment
C++,TypeMismatch,TypeMismatch
Java,MissingDelimiter,MissingDelimiter
Java,MissingDelimiter,MissingDelimiter
Python,ImportError,ImportError
Python,MissingImport,MissingImport
Python,DivisionByZero,DivisionByZero
Python,ImportError,ImportError
C++,MissingInclude,MissingInclude
C,TypeMismatch,TypeMismatch
Python,LineTooLong,LineTooLong
Java,TypeMismatch,TypeMismatch
C,UnreachableCode,UnreachableCode
Java,InfiniteLoop,InfiniteLoop
Python,MissingImport,MissingImport
Java,TypeMismatch,TypeMismatch
Python,MissingDelimiter,MissingDelimiter
Python,NameError,NameError
Python,NameError,NameError
Python,IndentationError,IndentationError
Python,MutableDefault,MutableDefault
C++,MissingInclude,MissingInclude
Python,MissingImport,MissingImport
C++,UnclosedString,UnclosedString
C,DivisionByZero,DivisionByZero
C,TypeMismatch,TypeMismatch
Python,MissingImport,MissingImport
Python,ImportError,ImportError
Python,UnmatchedBracket,UnmatchedBracket
C,UnusedVariable,UnusedVariable
Python,DivisionByZero,DivisionByZero
C,TypeMismatch,TypeMismatch
C,UnmatchedBracket,UnmatchedBracket
C,DuplicateDefinition,DuplicateDefinition
C,MissingDelimiter,MissingDelimiter
C,MissingInclude,MissingInclude
Python,IndentationError,IndentationError
Python,MissingDelimiter,MissingDelimiter
C,MissingInclude,MissingInclude
C,DuplicateDefinition,DuplicateDefinition
Java,MissingDelimiter,MissingDelimiter
Java,DuplicateDefinition,DuplicateDefinition
Java,UnusedVariable,UnusedVariable
Java,UnusedVariable,UnusedVariable
Python,UnmatchedBracket,UnmatchedBracket
C++,MissingInclude,MissingInclude
Python,IndentationError,IndentationError
C++,TypeMismatch,TypeMismatch
C++,DivisionByZero,DivisionByZero
Python,MissingImport,MissingImport
Python,IndentationError,IndentationError
C++,InfiniteLoop,InfiniteLoop
Java,DivisionByZero,DivisionByZero
Python,UnusedVariable,UnusedVariable
Python,InvalidAssignment,InvalidAssignment
C,MissingDelimiter,MissingDelimiter
Python,InvalidAssignment,InvalidAssignment
C,MissingDelimiter,MissingDelimiter
C,InvalidAssignment,InvalidAssignment
Python,MissingDelimiter,MissingDelimiter
Python,IndentationError,IndentationError
Python,TypeMismatch,TypeMismatch
C,DivisionByZero,DivisionByZero
C,TypeMismatch,TypeMismatch
C++,MissingDelimiter,MissingDelimiter
Python,ImportError,ImportError
Java,DivisionByZero,DivisionByZero
Python,NameError,NameError
C,MissingInclude,MissingInclude
