code,language,error_type,predicted
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
5 = x,Python,InvalidAssignment,InvalidAssignment
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
from math import *,Python,WildcardImport,WildcardImport
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
5 = x,Python,InvalidAssignment,InvalidAssignment
print(x),Python,NameError,NameError
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
5 = x,Python,InvalidAssignment,InvalidAssignment
print('Hello),Python,UnclosedString,UnclosedString
print('Hello),Python,UnclosedString,UnclosedString
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
5 = x,Python,InvalidAssignment,InvalidAssignment
from math import *,Python,WildcardImport,WildcardImport
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
from math import *,Python,WildcardImport,WildcardImport
5 = x,Python,InvalidAssignment,InvalidAssignment
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
print(x),Python,NameError,NameError
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"def func():
print('Hi')",Python,IndentationError,IndentationError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
from math import *,Python,WildcardImport,WildcardImport
print(x),Python,NameError,NameError
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
print(x),Python,NameError,NameError
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
5 = x,Python,InvalidAssignment,InvalidAssignment
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"def func():
print('Hi')",Python,IndentationError,IndentationError
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
print(x),Python,NameError,NameError
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
print(x),Python,NameError,NameError
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"def func():
print('Hi')",Python,IndentationError,IndentationError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
print('Hello),Python,UnclosedString,UnclosedString
from math import *,Python,WildcardImport,WildcardImport
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
from math import *,Python,WildcardImport,WildcardImport
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
